	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV15213	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	NA
ASV15214	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV15215	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA286-E23	NA	NA
ASV15216	Bacteria	NA	NA	NA	NA	NA	NA
ASV15217	Bacteria	NA	NA	NA	NA	NA	NA
ASV15218	Archaea	NA	NA	NA	NA	NA	NA
ASV15219	Bacteria	NA	NA	NA	NA	NA	NA
ASV15220	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15221	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15222	Bacteria	NA	NA	NA	NA	NA	NA
ASV15223	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15224	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15225	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV15226	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV15227	Bacteria	NA	NA	NA	NA	NA	NA
ASV15228	Archaea	NA	NA	NA	NA	NA	NA
ASV15230	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA	NA
ASV15231	Bacteria	NA	NA	NA	NA	NA	NA
ASV15232	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	NA	NA	NA
ASV15233	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
